target,mean,lo,hi
2.929462,2.674467,2.1716094,3.3194146
2.2615457,2.043421,1.4871188,2.4827635
1.5527811,2.053964,1.4175692,2.5243738
3.272423,4.1483064,3.7564135,4.628615
2.5179448,3.2770958,2.7715566,3.8585875
2.4803643,3.0186126,2.4952188,3.4578593
2.8618164,3.0481727,2.403883,3.4726467
3.3969831,2.8024626,2.3621318,3.165243
3.3354483,2.7299278,2.2211213,3.2224884
3.3872252,2.80594,2.0603564,3.5024188
4.3066525,3.5648339,2.9301312,4.113677
2.8157182,2.9130466,2.3978965,3.3743396
2.3874292,2.7277424,2.2449,3.2315536
2.4556828,2.7747262,2.1107287,3.423589
2.6291618,2.8132336,2.184905,3.37085
2.4790928,2.9255345,2.4211633,3.3766363
2.4828205,2.6531267,2.213972,3.1604416
3.2384233,2.8794506,2.5145974,3.2807305
2.302075,2.3080425,1.6193411,2.83438
2.5288982,3.064003,2.4988718,3.5590708
1.5653973,2.7576625,2.2737439,3.3629892
3.3119025,2.962945,2.4631279,3.6452992
2.2860572,2.5265796,1.9510882,2.9577098
1.6011146,2.4295702,2.062382,2.933096
3.473265,2.977542,2.4714465,3.5279071
3.232723,2.9192967,2.5330017,3.3761501
3.0240183,3.0370877,2.4517524,3.4205523
2.0924506,2.5772336,1.9508083,3.1449573
1.8332992,2.2372034,1.6334851,2.8302379
1.7550552,2.4610696,1.9933695,2.9224572
3.3888667,3.612441,3.0134761,4.045711
3.2042387,3.0702066,2.6796308,3.4381971
3.2644732,3.1808999,2.699746,3.8540485
2.8335931,2.7142847,2.220583,3.2837732
2.4528348,2.3589878,1.7619932,2.9743118
2.084564,1.9165249,1.2518984,2.344494
1.8069985,2.0225012,1.4908564,2.487955
3.4289944,3.8700347,3.3790886,4.321238
2.9106908,3.1220443,2.4838316,3.6642604
2.5496361,3.0240757,2.3252678,3.613006
2.7727892,3.0775974,2.659848,3.5625114
3.4384208,2.8562481,2.395675,3.3607638
2.870146,2.5372353,1.9917305,2.9850075
2.1082299,2.7011714,2.1766872,3.1197944
2.7393441,3.0130017,2.6083624,3.5914202
2.408971,2.8052957,2.329359,3.2564425
2.7539442,2.7824886,2.2626486,3.2921848
2.8365366,2.7864432,2.2191193,3.358067
3.138971,2.153071,1.7477764,2.6620018
2.3404582,2.8499653,2.2069817,3.4072695
1.5390897,2.3175116,1.988022,2.7719243
1.115588,2.409797,1.7711815,3.086972
4.281919,4.429875,3.9382024,4.8764563
4.089861,3.8044982,3.1991446,4.347903
3.4388082,3.2232552,2.7188873,3.8633149
2.7249594,2.823272,2.2562761,3.3859015
1.7544578,2.0420063,1.58565,2.5297704
0.83694136,2.1258714,1.6169449,2.5991035
4.393651,4.6684284,4.2097883,5.3306165
3.6091936,4.0459776,3.4423335,4.547936
3.1848335,3.5825548,3.1157725,4.0807266
