block_width,t,method,rmse
17,46,Centroid,0.8411108881450545
17,47,Support-aware,0.570324563212346
17,47,PostAgg,0.3190606409073465
17,47,Centroid,0.22532279328029975
17,48,Support-aware,0.5364840276720122
17,48,PostAgg,0.7448462886595563
17,48,Centroid,1.0234624734143452
17,49,Support-aware,0.5402883979589957
17,49,PostAgg,0.677073511270439
17,49,Centroid,0.8915676470122313
17,50,Support-aware,0.5200476000000003
17,50,PostAgg,1.0714555000000001
17,50,Centroid,1.4385359
17,51,Support-aware,0.6532418924827911
17,51,PostAgg,0.8030966239254357
17,51,Centroid,1.0436302707626028
17,52,Support-aware,0.5403298000698078
17,52,PostAgg,0.6614739215241346
17,52,Centroid,0.908007107846317
17,53,Support-aware,0.527603920609547
17,53,PostAgg,0.6092509932463405
17,53,Centroid,0.8410170237640577
17,54,Support-aware,0.3019706229192363
17,54,PostAgg,0.4108039310421051
17,54,Centroid,0.5550196268054611
17,55,Support-aware,0.33708487750239974
17,55,PostAgg,0.4349747209578211
17,55,Centroid,0.7633416268398856
17,56,Support-aware,0.35616907841205014
17,56,PostAgg,0.4772139053829053
17,56,Centroid,0.8299628658539051
17,58,Support-aware,0.4525910668099723
17,58,PostAgg,0.5998383752276872
17,58,Centroid,0.7565927420725593
17,59,Support-aware,0.25252882916991126
17,59,PostAgg,0.2760308817471923
17,59,Centroid,0.6394082783213132
17,60,Support-aware,0.46969725797510387
17,60,PostAgg,0.6706701634943509
17,60,Centroid,0.8563652266869053
17,61,Support-aware,0.17967998562020973
17,61,PostAgg,0.30145915389175443
17,61,Centroid,0.593725390281333
17,62,Support-aware,0.3589312913126537
17,62,PostAgg,0.5443945960784611
17,62,Centroid,0.7640493601971511
17,63,Support-aware,0.28671613600322027
17,63,PostAgg,0.35948972241858307
17,63,Centroid,0.5828736941322425
17,64,Support-aware,0.18428758178939925
17,64,PostAgg,0.2242243466258333
17,64,Centroid,0.5063176538676917
17,65,Support-aware,0.8369603615900293
17,65,PostAgg,1.0781738796535505
17,65,Centroid,1.3709415805725207
17,66,Support-aware,0.602530191587747
17,66,PostAgg,0.8251985075981197
17,66,Centroid,1.1082397106721116
17,67,Support-aware,0.712602040451605
17,67,PostAgg,0.8290342329235966
17,67,Centroid,1.0751717377595715
17,68,Support-aware,0.8106284857367098
17,68,PostAgg,1.0457919564206157
17,68,Centroid,1.4049937375579036
17,70,Support-aware,0.7927480720227588
17,70,PostAgg,1.0034839346210933
17,70,Centroid,1.3424385285286622
17,71,Support-aware,0.6777604111945992
17,71,PostAgg,0.7973643193550087
17,71,Centroid,1.0868743391265847
17,72,Support-aware,0.5483809822064554
17,72,PostAgg,0.7217641286049165
17,72,Centroid,1.0078937160952242
17,73,Support-aware,0.6003211295496406
17,73,PostAgg,0.7918286204998841
17,73,Centroid,1.107516439311692
17,74,Support-aware,0.5663562253285065
17,74,PostAgg,0.7782585082616152
17,74,Centroid,1.0773208185184446
17,75,Support-aware,0.5345354671751756
17,75,PostAgg,0.7074634517903514
17,75,Centroid,1.0281034252994157
17,76,Support-aware,0.605937221419085
17,76,PostAgg,0.742480960225702
17,76,Centroid,1.0465754698042018
17,77,Support-aware,0.35270951915161713
17,77,PostAgg,0.5113137409252593
17,77,Centroid,0.8351350939831198
17,78,Support-aware,0.627138128319347
17,78,PostAgg,0.7830826270532234
17,78,Centroid,1.150246030580636
17,79,Support-aware,0.5320041480124201
17,79,PostAgg,0.6598495779463878
17,79,Centroid,0.9513389248869923
17,80,Support-aware,0.6487769440308448
17,80,PostAgg,0.8168754909629651
17,80,Centroid,1.0709918336177244
17,81,Support-aware,0.6008308149941679
17,81,PostAgg,0.7090666438176166
17,81,Centroid,1.0602006823665908
17,82,Support-aware,0.6619429375955744
17,82,PostAgg,0.8415175888866651
17,82,Centroid,1.10550855728045
17,83,Support-aware,0.5271754412784222
17,83,PostAgg,0.47676816984636927
17,83,Centroid,0.6131469032516307
17,84,Support-aware,0.5405020466415394
17,84,PostAgg,0.490487256998962
17,84,Centroid,0.6826254435020288
17,85,Support-aware,0.29388866846379363
17,85,PostAgg,0.409544206898246
17,85,Centroid,0.7114650843356228
17,86,Support-aware,0.5661225867053524
17,86,PostAgg,0.7439179343698984
17,86,Centroid,1.081386787938355
17,87,Support-aware,0.30922203910154755
17,87,PostAgg,0.5225828910333719
17,87,Centroid,0.7603592969545506
17,88,Support-aware,0.3909713412437052
17,88,PostAgg,0.5959648967439383
17,88,Centroid,0.8559058989251128
17,89,Support-aware,0.47627185211417983
17,89,PostAgg,0.6906905715813794
17,89,Centroid,0.8494865015748194
